Anomaly_Time_Window,Anomaly_Score,pid,user,database,event_type,session_duration_sec,query_command,query_text,timestamp
2025-10-04 20:55:00+07:00,-0.1018002787162243,7013,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 20:59:26.710000+07:00
2025-10-04 20:55:00+07:00,-0.1018002787162243,7016,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 20:59:27.262000+07:00
2025-10-04 20:55:00+07:00,-0.1018002787162243,7016,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 20:59:27.268000+07:00
2025-10-04 20:55:00+07:00,-0.1018002787162243,7016,postgres,template1,DISCONNECT,0.083,,,2025-10-04 20:59:27.344000+07:00
2025-10-04 20:55:00+07:00,-0.1018002787162243,7019,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 20:59:27.876000+07:00
2025-10-04 20:55:00+07:00,-0.1018002787162243,7019,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 20:59:27.882000+07:00
2025-10-04 20:55:00+07:00,-0.1018002787162243,7019,postgres,template1,DISCONNECT,0.016,,,2025-10-04 20:59:27.892000+07:00
2025-10-04 20:55:00+07:00,-0.1018002787162243,7022,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 20:59:28.415000+07:00
2025-10-04 20:55:00+07:00,-0.1018002787162243,7022,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 20:59:28.416000+07:00
2025-10-04 20:55:00+07:00,-0.1018002787162243,7022,postgres,template1,DISCONNECT,0.008,,,2025-10-04 20:59:28.424000+07:00
2025-10-04 20:55:00+07:00,-0.1018002787162243,7025,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 20:59:40.209000+07:00
2025-10-04 20:55:00+07:00,-0.1018002787162243,7025,posgres,hodaoty,FATAL,0.0,,,2025-10-04 20:59:40.211000+07:00
2025-10-04 20:55:00+07:00,-0.1018002787162243,7031,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 20:59:49.319000+07:00
2025-10-04 20:55:00+07:00,-0.1018002787162243,7031,postgres,hodaoty,FATAL,0.0,,,2025-10-04 20:59:49.320000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7048,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:00:08.376000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7048,postgres,postgres,FATAL,0.0,,,2025-10-04 21:00:08.377000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7068,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:01:04.963000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7068,postgres,postgres,FATAL,0.0,,,2025-10-04 21:01:04.967000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7115,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:02:19.825000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7118,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:02:20.362000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7118,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:02:20.364000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7118,postgres,template1,DISCONNECT,0.02,,,2025-10-04 21:02:20.382000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7121,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:02:20.914000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7121,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:02:20.916000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7121,postgres,template1,DISCONNECT,0.003,,,2025-10-04 21:02:20.918000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7124,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:02:21.440000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7124,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:02:21.441000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7124,postgres,template1,DISCONNECT,0.004,,,2025-10-04 21:02:21.444000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7129,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:02:25.728000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7129,postgres,hodaoty,FATAL,0.0,,,2025-10-04 21:02:25.728000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7131,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:02:31.106000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7131,postgres,postgres,FATAL,0.0,,,2025-10-04 21:02:31.111000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7211,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:02:52.679000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7211,postgres,postgres,FATAL,0.0,,,2025-10-04 21:02:52.731000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7212,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:02:52.734000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7212,postgres,postgres,FATAL,0.0,,,2025-10-04 21:02:52.760000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7216,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:01.384000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7216,postgres,postgres,FATAL,0.0,,,2025-10-04 21:03:01.410000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7217,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:01.418000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7217,postgres,postgres,FATAL,0.0,,,2025-10-04 21:03:01.423000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7221,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:08.850000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7221,postgres,postgres,FATAL,0.0,,,2025-10-04 21:03:08.885000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7222,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:08.895000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7222,postgres,postgres,FATAL,0.0,,,2025-10-04 21:03:08.900000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7257,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:20.539000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7257,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:03:20.551000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7270,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:25.064000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7271,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:25.069000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7271,postgres,testdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:03:25.087000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7270,postgres,testdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:03:25.114000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7271,postgres,testdb,DISCONNECT,0.166,,,2025-10-04 21:03:25.235000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7320,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:41.766000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7320,posgres,posgres,FATAL,0.0,,,2025-10-04 21:03:41.767000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7323,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:49.373000+07:00
2025-10-04 21:00:00+07:00,-0.1115851470668938,7323,postgres,postgres,FATAL,0.0,,,2025-10-04 21:03:49.374000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7356,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:05:30.005000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7356,postgres,postgres,FATAL,0.0,,,2025-10-04 21:05:30.007000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7391,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:05:58.795000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7391,root,root,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:05:58.798000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7391,root,root,FATAL,0.0,,,2025-10-04 21:05:58.798000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7474,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:06:10.469000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7474,hodaoty,hodaoty,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:06:10.472000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7474,hodaoty,hodaoty,FATAL,0.0,,,2025-10-04 21:06:10.472000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7482,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:06:32.275000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7482,postgres,hodaoty,FATAL,0.0,,,2025-10-04 21:06:32.276000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7505,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:07:12.678000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7505,postgres,hodaoty,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:07:12.680000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7505,postgres,hodaoty,FATAL,0.0,,,2025-10-04 21:07:12.680000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7510,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:07:22.548000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7510,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:07:22.548000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7510,postgres,postgres,ERROR,0.0,,,2025-10-04 21:07:34.031000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7510,postgres,postgres,DISCONNECT,33.715,,,2025-10-04 21:07:56.263000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7551,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:08:05.883000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7551,root,root,FATAL,0.0,,,2025-10-04 21:08:05.884000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7557,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:08:18.793000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7557,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:08:18.793000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7557,postgres,postgres,ERROR,0.0,,,2025-10-04 21:08:25.718000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7557,postgres,postgres,ERROR,0.0,,,2025-10-04 21:08:31.191000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7557,postgres,postgres,DISCONNECT,69.629,,,2025-10-04 21:09:28.422000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7607,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:09:57.695000+07:00
2025-10-04 21:05:00+07:00,-0.1443090829167979,7607,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:09:57.695000+07:00
2025-10-04 21:10:00+07:00,-0.0266596362691146,7607,postgres,postgres,ERROR,0.0,,,2025-10-04 21:10:18.208000+07:00
2025-10-04 21:10:00+07:00,-0.0266596362691146,7607,postgres,postgres,DISCONNECT,41.209,,,2025-10-04 21:10:38.904000+07:00
2025-10-04 21:10:00+07:00,-0.0266596362691146,7631,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:10:44.191000+07:00
2025-10-04 21:10:00+07:00,-0.0266596362691146,7631,postgres,testdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:10:44.192000+07:00
2025-10-04 21:10:00+07:00,-0.0266596362691146,7631,postgres,testdb,DISCONNECT,133.192,,,2025-10-04 21:12:57.384000+07:00
2025-10-04 21:20:00+07:00,-0.1346034793500808,7270,postgres,testdb,FATAL,0.0,,,2025-10-04 21:21:33.465000+07:00
2025-10-04 21:20:00+07:00,-0.1346034793500808,7270,postgres,testdb,DISCONNECT,1088.403,,,2025-10-04 21:21:33.467000+07:00
2025-10-04 21:20:00+07:00,-0.1346034793500808,7257,postgres,postgres,FATAL,0.0,,,2025-10-04 21:21:33.488000+07:00
2025-10-04 21:20:00+07:00,-0.1346034793500808,7257,postgres,postgres,DISCONNECT,1092.952,,,2025-10-04 21:21:33.491000+07:00
2025-10-04 21:20:00+07:00,-0.1346034793500808,7939,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:21:34.903000+07:00
2025-10-04 21:20:00+07:00,-0.1346034793500808,7942,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:21:35.455000+07:00
2025-10-04 21:20:00+07:00,-0.1346034793500808,7942,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:21:35.462000+07:00
2025-10-04 21:20:00+07:00,-0.1346034793500808,7942,postgres,template1,DISCONNECT,0.101,,,2025-10-04 21:21:35.556000+07:00
2025-10-04 21:20:00+07:00,-0.1346034793500808,7945,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:21:36.081000+07:00
2025-10-04 21:20:00+07:00,-0.1346034793500808,7945,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:21:36.085000+07:00
2025-10-04 21:20:00+07:00,-0.1346034793500808,7945,postgres,template1,DISCONNECT,0.013,,,2025-10-04 21:21:36.093000+07:00
2025-10-04 21:20:00+07:00,-0.1346034793500808,7948,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:21:36.618000+07:00
2025-10-04 21:20:00+07:00,-0.1346034793500808,7948,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:21:36.619000+07:00
2025-10-04 21:20:00+07:00,-0.1346034793500808,7948,postgres,template1,DISCONNECT,0.004,,,2025-10-04 21:21:36.623000+07:00
2025-10-04 21:20:00+07:00,-0.1346034793500808,7956,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:21:50.974000+07:00
2025-10-04 21:20:00+07:00,-0.1346034793500808,7956,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:21:50.975000+07:00
2025-10-04 21:20:00+07:00,-0.1346034793500808,7979,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:23:35.935000+07:00
2025-10-04 21:20:00+07:00,-0.1346034793500808,7979,postgres,auditdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:23:35.936000+07:00
2025-10-04 21:20:00+07:00,-0.1346034793500808,7956,postgres,postgres,DISCONNECT,104.971,,,2025-10-04 21:23:35.945000+07:00
2025-10-04 21:25:00+07:00,-0.108146171930722,7979,postgres,auditdb,ERROR,0.0,,,2025-10-04 21:25:02.459000+07:00
2025-10-04 21:25:00+07:00,-0.108146171930722,7979,postgres,auditdb,DISCONNECT,158.0,,,2025-10-04 21:26:13.935000+07:00
2025-10-04 21:25:00+07:00,-0.108146171930722,8047,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:27:20.168000+07:00
2025-10-04 21:25:00+07:00,-0.108146171930722,8047,audituser,auditdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:27:20.192000+07:00
2025-10-04 21:25:00+07:00,-0.108146171930722,8047,audituser,auditdb,DISCONNECT,64.063,,,2025-10-04 21:28:24.231000+07:00
2025-10-04 21:30:00+07:00,-0.1175318527556728,8256,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:33:41.969000+07:00
2025-10-04 21:30:00+07:00,-0.1175318527556728,8256,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:33:42.041000+07:00
2025-10-04 21:30:00+07:00,-0.1175318527556728,8261,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:33:45.389000+07:00
2025-10-04 21:30:00+07:00,-0.1175318527556728,8262,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:33:45.401000+07:00
2025-10-04 21:30:00+07:00,-0.1175318527556728,8261,postgres,auditdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:33:45.414000+07:00
2025-10-04 21:30:00+07:00,-0.1175318527556728,8262,postgres,auditdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:33:45.421000+07:00
2025-10-04 21:30:00+07:00,-0.1175318527556728,8261,postgres,auditdb,DISCONNECT,0.088,,,2025-10-04 21:33:45.478000+07:00
2025-10-04 21:30:00+07:00,-0.1175318527556728,8262,postgres,auditdb,DISCONNECT,12.346,,,2025-10-04 21:33:57.745000+07:00
2025-10-04 21:30:00+07:00,-0.1175318527556728,8256,postgres,postgres,DISCONNECT,15.782,,,2025-10-04 21:33:57.750000+07:00
2025-10-05 09:05:00+07:00,-0.0973693089598992,1100,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-05 09:05:52.863000+07:00
2025-10-05 09:05:00+07:00,-0.0973693089598992,1124,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-05 09:05:53.715000+07:00
2025-10-05 09:05:00+07:00,-0.0973693089598992,1124,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-05 09:05:53.783000+07:00
2025-10-05 09:05:00+07:00,-0.0973693089598992,1124,postgres,template1,DISCONNECT,0.612,,,2025-10-05 09:05:54.333000+07:00
2025-10-05 09:05:00+07:00,-0.0973693089598992,1161,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-05 09:05:55.072000+07:00
2025-10-05 09:05:00+07:00,-0.0973693089598992,1161,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-05 09:05:55.132000+07:00
2025-10-05 09:05:00+07:00,-0.0973693089598992,1161,postgres,template1,DISCONNECT,0.131,,,2025-10-05 09:05:55.195000+07:00
2025-10-05 09:05:00+07:00,-0.0973693089598992,1178,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-05 09:05:55.915000+07:00
2025-10-05 09:05:00+07:00,-0.0973693089598992,1178,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-05 09:05:55.917000+07:00
2025-10-05 09:05:00+07:00,-0.0973693089598992,1178,postgres,template1,DISCONNECT,0.097,,,2025-10-05 09:05:56.001000+07:00
2025-10-05 09:15:00+07:00,-0.0363609947183496,5507,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-05 09:15:05.047000+07:00
2025-10-05 09:15:00+07:00,-0.0363609947183496,5513,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-05 09:15:16.476000+07:00
2025-10-05 09:15:00+07:00,-0.0363609947183496,5518,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-05 09:15:24.746000+07:00
2025-10-05 09:15:00+07:00,-0.0363609947183496,5518,postgres,testdb,CONNECT_AUTHORIZED,0.0,,,2025-10-05 09:15:24.792000+07:00
2025-10-05 09:50:00+07:00,-0.0520041743142788,8601,postgres,testdb,DISCONNECT,447.274,,,2025-10-05 09:54:08.715000+07:00
2025-10-05 10:05:00+07:00,-0.0683611441135969,9259,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-05 10:05:05.758000+07:00
2025-10-05 10:05:00+07:00,-0.0683611441135969,9264,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-05 10:05:10.894000+07:00
2025-10-05 10:05:00+07:00,-0.0683611441135969,9264,postgres,testdb,CONNECT_AUTHORIZED,0.0,,,2025-10-05 10:05:10.928000+07:00
2025-10-05 10:05:00+07:00,-0.0683611441135969,9264,postgres,testdb,DISCONNECT,26.414,,,2025-10-05 10:05:37.308000+07:00
2025-10-05 10:05:00+07:00,-0.0683611441135969,9327,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-05 10:08:40.456000+07:00
2025-10-05 10:05:00+07:00,-0.0683611441135969,9328,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-05 10:08:45.517000+07:00
2025-10-05 10:05:00+07:00,-0.0683611441135969,9328,postgres,testdb,CONNECT_AUTHORIZED,0.0,,,2025-10-05 10:08:45.560000+07:00
2025-10-05 10:05:00+07:00,-0.0683611441135969,9328,postgres,testdb,DISCONNECT,18.069,,,2025-10-05 10:09:03.586000+07:00
2025-10-05 19:40:00+07:00,-0.0973693089598992,1042,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-05 19:42:25.283000+07:00
2025-10-05 19:40:00+07:00,-0.0973693089598992,1059,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-05 19:42:26.199000+07:00
2025-10-05 19:40:00+07:00,-0.0973693089598992,1059,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-05 19:42:26.253000+07:00
